,Section,Class NBR,Instructor Name,A,B,C,D,F,AU,P,NG,W,I,IP,Pending,Total,Raw,Average,Median,Mode,σ,Semester,Classes
GLG 104,A,3103,"Blakey,Ronald Clyde",6,3,1,0,0,0,0,0,0,0,0,0,10,3.5,4.0,4,0.7071067811865476,,Fall 2003,GLG 104
GLG 112,1,3104,"Brumbaugh,David Scott",12,26,31,2,1,0,0,0,2,0,0,0,74,2.639,3.0,2,0.8442941139559839,,Fall 2003,GLG 112
GLG 112L,A,3109,"Thompson,Lisa Anne",10,3,2,3,0,0,0,0,2,0,0,0,20,3.111,4.0,4,1.1826634392157036,,Fall 2003,GLG 112L
GLG 112L,B,3110,"Thompson,Lisa Anne",8,1,2,0,0,0,0,0,1,0,0,0,12,3.545,4,4,0.8201995322647244,,Fall 2003,GLG 112L
GLG 112L,C,3111,"Duebendorfer,Ernest M",11,3,1,0,2,0,0,0,1,0,0,0,18,3.235,4,4,1.3476559169863187,,Fall 2003,GLG 112L
GLG 112L,E,3113,"Duebendorfer,Ernest M",4,6,2,1,0,0,0,0,0,0,0,0,13,3,3,3,0.9128709291752769,,Fall 2003,GLG 112L
GLG 190,801,8028,"Wittke,James Henry",21,6,0,0,5,0,0,0,1,0,0,0,33,3.188,4.0,4,1.4466312368685639,,Fall 2003,GLG 190
GLG 190L,801,8030,"Wittke,James Henry",10,6,2,3,3,0,0,0,4,0,0,0,28,2.708,3.0,4,1.458980187804412,,Fall 2003,GLG 190L
GLG 201,1,7288,"Elliott,David Kenneth",12,16,13,3,4,0,0,0,6,0,0,0,54,2.604,3.0,3,1.1803278183899795,,Fall 2003,GLG 201
GLG 225,1,3117,"Elliott,David Kenneth",7,11,4,0,0,0,0,0,0,0,0,0,22,3.136,3.0,3,0.7101612523427367,,Fall 2003,GLG 225
GLG 240,1,3118,"Riggs,Nancy Rosalind",3,9,2,0,0,0,0,0,1,0,0,0,15,3.071,3.0,3,0.6157279262148819,,Fall 2003,GLG 240
GLG 309,1,3121,"Wittke,James Henry/Reid,Mary",4,5,10,2,0,0,0,0,1,0,0,0,22,2.524,2,2,0.9283882603225667,,Fall 2003,GLG 309
GLG 430,1,3137,"Kaufman,Darrell S",4,5,2,2,0,0,0,0,1,0,0,0,14,2.846,3,3,1.0681880176381127,,Fall 2003,GLG 430
GLG 435,1,3139,"Duebendorfer,Ernest M",7,6,5,3,1,0,0,0,0,0,0,0,22,2.682,3.0,4,1.2105238392398414,,Fall 2003,GLG 435
GLG 451,1,1076,"Springer,Abraham E",3,7,4,0,0,0,0,0,0,0,0,0,14,2.929,3.0,3,0.7300459115473718,,Fall 2003,GLG 451
GLG 499,1,7289,"Mead,James Irving",21,1,0,0,0,0,0,0,0,0,0,0,22,3.955,4.0,4,0.21320071635561044,,Fall 2003,GLG 499
GLG 100,1,1683,"Best,David Malcolm",9,15,18,5,8,0,0,0,1,0,0,0,56,2.218,2,2,1.2574357960328555,,Spring 2004,GLG 100
GLG 100,2,1684,"Morgan,Paul -",33,18,16,0,5,0,0,0,3,0,0,0,75,3.028,3.0,4,1.1502874377121453,,Spring 2004,GLG 100
GLG 100,3,1685,"Koehler,Peter Andrew",32,35,23,3,2,0,0,0,0,0,0,0,95,2.968,3,3,0.9503933293132563,,Spring 2004,GLG 100
GLG 100,801,8298,"Jan,Christina Diane",2,8,1,1,5,0,0,0,2,0,0,0,19,2.059,3,3,1.519481335657587,,Spring 2004,GLG 100
GLG 100L,801,8299,"Jan,Christina Diane",2,4,3,0,6,0,0,0,1,0,0,0,16,1.733,2,0,1.5796322658258457,,Spring 2004,GLG 100L
GLG 100L,A,1687,"Pandamouz,Ali",16,0,1,0,0,0,0,0,1,0,0,0,18,3.882,4,4,0.485071250072666,,Spring 2004,GLG 100L
GLG 100L,B,1688,"Pandamouz,Ali",6,4,2,1,0,0,0,0,0,0,0,0,13,3.154,3,4,0.9870962335856491,,Spring 2004,GLG 100L
GLG 100L,C,1689,"Hall,Patricia Jayne",5,4,4,0,0,0,0,0,1,0,0,0,14,3.077,3,4,0.8623164985025763,,Spring 2004,GLG 100L
GLG 100L,E,1691,"Brightwell,Stephanie N",20,2,0,0,0,0,0,0,0,0,0,0,22,3.909,4.0,4,0.29424494316824984,,Spring 2004,GLG 100L
GLG 100L,F,1692,"Griffiths,Alexandra M",15,4,3,0,0,0,0,0,0,0,0,0,22,3.545,4.0,4,0.7385489458759964,,Spring 2004,GLG 100L
GLG 100L,G,1693,"Griffiths,Alexandra M",13,2,3,1,2,0,0,0,1,0,0,0,22,3.095,4,4,1.3749458863810569,,Spring 2004,GLG 100L
GLG 100L,H,1694,"Swaney,Zachariah A",11,3,1,0,0,0,0,0,0,0,0,0,15,3.667,4,4,0.6172133998483676,,Spring 2004,GLG 100L
GLG 100L,I,1695,"Duschatko,Beth Christine",12,3,0,1,3,0,0,0,0,0,0,0,19,3.053,4,4,1.5446568914424659,,Spring 2004,GLG 100L
GLG 100L,J,1696,"Hall,Patricia Jayne",6,7,3,0,1,0,0,0,0,0,0,0,17,3,3,3,1.0606601717798212,,Spring 2004,GLG 100L
GLG 100L,K,1697,"Griffiths,Alexandra M",10,6,3,1,1,0,0,0,0,0,0,0,21,3.095,3,4,1.13599128098599,,Spring 2004,GLG 100L
GLG 100L,L,1698,"Griffiths,Alexandra M",4,4,5,0,2,0,0,0,0,0,0,0,15,2.533,3,2,1.3020130933435712,,Spring 2004,GLG 100L
GLG 101,1,1707,"Wittke,James Henry",8,13,5,8,4,0,0,0,3,0,0,0,41,2.342,3.0,3,1.3208579478316087,,Spring 2004,GLG 101
GLG 102,1,1708,"Mead,James Irving",9,2,1,2,2,0,0,0,2,0,0,0,18,2.875,4.0,4,1.5438048235879214,,Spring 2004,GLG 102
GLG 103,A,1712,"Brightwell,Stephanie N",12,4,0,3,1,0,0,0,0,0,0,0,20,3.15,4.0,4,1.3088765773505315,,Spring 2004,GLG 103
GLG 103,B,1713,"Brightwell,Stephanie N",12,2,1,0,1,0,0,0,3,0,0,0,19,3.5,4.0,4,1.0954451150103321,,Spring 2004,GLG 103
GLG 104,A,1714,"Mead,James Irving",6,1,1,0,1,0,0,0,1,0,0,0,10,3.222,4,4,1.3944333775567925,,Spring 2004,GLG 104
GLG 112,1,1716,"Brumbaugh,David Scott",16,21,33,3,2,0,0,0,1,0,0,0,76,2.613,2,2,0.9570977149884101,,Spring 2004,GLG 112
GLG 112,2,6849,"Sample,James Clifford",11,26,19,6,11,0,0,0,2,0,0,0,75,2.274,3,3,1.2611753113289332,,Spring 2004,GLG 112
GLG 112L,A,1717,"McConnell,Siobhan Roberta",5,3,2,1,0,0,0,0,1,0,0,0,12,3.091,3,4,1.044465935734187,,Spring 2004,GLG 112L
GLG 112L,B,1718,"McConnell,Siobhan Roberta",9,3,4,2,2,0,0,0,1,0,0,0,21,2.75,3.0,4,1.4095538674570611,,Spring 2004,GLG 112L
GLG 112L,C,1719,"Pandamouz,Ali",10,9,0,0,0,0,0,0,0,0,0,0,19,3.526,4,4,0.512989176042577,,Spring 2004,GLG 112L
GLG 112L,D,1720,"Newkirk,Trenton T",18,0,0,0,0,0,0,0,2,0,0,0,20,4,4.0,4,0.0,,Spring 2004,GLG 112L
GLG 112L,E,1721,"McConnell,Siobhan Roberta",17,3,1,0,1,0,0,0,0,0,0,0,22,3.591,4.0,4,0.9591211706105855,,Spring 2004,GLG 112L
GLG 112L,F,7063,"McConnell,Siobhan Roberta",9,6,2,1,3,0,0,0,0,0,0,0,21,2.81,3,4,1.4359334113755977,,Spring 2004,GLG 112L
GLG 112L,H,7065,"Black,Victoria Lynn",5,6,2,1,5,0,0,0,1,0,0,0,20,2.263,3,3,1.5931138364556479,,Spring 2004,GLG 112L
GLG 190,1,1709,"Morgan,Paul -",8,7,5,0,2,0,0,0,1,0,0,0,23,2.864,3.0,4,1.2069423999139135,,Spring 2004,GLG 190
GLG 190,802,7286,"Wittke,James Henry",13,11,4,1,2,0,0,0,4,0,0,0,35,3.032,3,4,1.1397037909837784,,Spring 2004,GLG 190
GLG 190L,801,7287,"Wittke,James Henry",3,0,10,0,6,0,0,0,5,0,0,0,24,1.684,2,2,1.3764944032233706,,Spring 2004,GLG 190L
GLG 190L,A,1710,"Morgan,Paul -",8,3,0,0,2,0,0,0,1,1,0,0,15,3.154,4,4,1.4632243987255136,,Spring 2004,GLG 190L
GLG 201,1,1723,"Elliott,David Kenneth",9,11,16,2,4,0,0,0,0,0,0,0,42,2.452,2.0,2,1.1729134239645074,,Spring 2004,GLG 201
GLG 240,1,1724,"Ort,Michael Harold",6,1,3,0,4,0,0,0,0,0,0,0,14,2.357,2.5,4,1.7368026705655184,,Spring 2004,GLG 240
GLG 265,1,1725,"Brumbaugh,David Scott",7,6,3,0,1,0,0,0,1,0,0,0,18,3.059,3,4,1.0880365478290537,,Spring 2004,GLG 265
GLG 301,1,6851,"Springer,Abraham E",5,3,1,1,1,0,0,0,1,0,0,0,12,2.909,3,4,1.3751033019046572,,Spring 2004,GLG 301
GLG 304,1,1711,"Best,David Malcolm",7,2,1,0,1,0,0,0,0,0,0,0,11,3.273,4,4,1.2720777563426766,,Spring 2004,GLG 304
GLG 315,1,1730,"Reid,Mary",3,9,7,2,0,0,0,0,0,0,0,0,21,2.619,3,3,0.8646496675642961,,Spring 2004,GLG 315
GLG 324,1,1732,"Blakey,Ronald Clyde",6,14,4,0,0,0,0,0,0,0,0,0,24,3.083,3.0,3,0.6538625481582945,,Spring 2004,GLG 324
GLG 350W,1,6853,"Riggs,Nancy Rosalind",4,14,3,1,0,0,0,0,0,0,0,0,22,2.955,3.0,3,0.7222499717168716,,Spring 2004,GLG 350W
GLG 440,1,1733,"Riggs,Nancy Rosalind/Blakey,Ronald Clyde/Sample,James Clifford",7,7,3,0,0,0,0,0,0,0,0,0,17,3.235,3,4,0.7524469885568253,,Spring 2004,GLG 440
GLG 100,1,1643,"Morgan,Paul -",44,19,13,1,0,0,0,0,3,0,0,0,80,3.377,4,4,0.8117388911103619,,Fall 2004,GLG 100
GLG 100,2,1645,"Best,David Malcolm",11,23,22,11,8,0,0,0,5,0,0,0,80,2.24,2,3,1.1950347727610724,,Fall 2004,GLG 100
GLG 100,3,1644,"Koehler,Peter Andrew",12,22,13,1,3,0,0,0,1,0,0,0,52,2.765,3,3,1.0312756235675824,,Fall 2004,GLG 100
GLG 100L,A,1646,"Hamilton,Michael E",8,8,3,0,1,0,0,0,0,0,0,0,20,3.1,3.0,4,1.020835571068081,,Fall 2004,GLG 100L
GLG 100L,B,1647,"Hamilton,Michael E",10,5,3,0,1,0,0,0,0,0,0,0,19,3.211,4,4,1.0841764600337107,,Fall 2004,GLG 100L
GLG 100L,C,1648,"Schmeisser,Rebecca L",14,3,1,0,0,0,0,0,0,0,0,0,18,3.722,4.0,4,0.5745131499601416,,Fall 2004,GLG 100L
GLG 100L,D,1649,"Schmeisser,Rebecca L",11,2,0,0,0,0,0,0,1,0,0,0,14,3.846,4,4,0.3755338080994054,,Fall 2004,GLG 100L
GLG 100L,E,1650,"Erickson,Allison Austin",11,3,1,0,1,0,0,0,1,0,0,0,17,3.438,4.0,4,1.0935416468216166,,Fall 2004,GLG 100L
GLG 100L,F,1651,"Erickson,Allison Austin",11,6,3,0,0,0,0,0,0,0,0,0,20,3.4,4.0,4,0.7539370349250519,,Fall 2004,GLG 100L
GLG 100L,G,1652,"Schmeisser,Rebecca L",13,3,0,0,1,0,0,0,1,0,0,0,18,3.588,4,4,1.0036697371030325,,Fall 2004,GLG 100L
GLG 100L,H,1653,"Schmeisser,Rebecca L",12,1,1,0,1,0,0,0,0,0,0,0,15,3.533,4,4,1.1254628677422756,,Fall 2004,GLG 100L
GLG 100L,I,1654,"Morgan,Paul -",11,0,1,0,3,0,0,0,0,0,0,0,15,3.067,4,4,1.6676187756655838,,Fall 2004,GLG 100L
GLG 100L,J,1655,"Hamilton,Michael E",13,5,0,1,0,0,0,0,1,0,0,0,20,3.579,4,4,0.7685331969757723,,Fall 2004,GLG 100L
GLG 100L,K,1656,"Hollenshead,Marcia Gail",10,1,1,1,0,0,0,0,0,0,0,0,13,3.538,4,4,0.9674179220468452,,Fall 2004,GLG 100L
GLG 100L,L,1657,"Hollenshead,Marcia Gail",13,5,0,0,0,0,0,0,1,0,0,0,19,3.722,4.0,4,0.4608885989624768,,Fall 2004,GLG 100L
GLG 101,1,1661,"Hoisch,Thomas David",12,21,5,3,5,0,0,0,4,0,0,0,50,2.696,3.0,3,1.2448929488539489,,Fall 2004,GLG 101
GLG 103,A,1663,"Jan,Christina Diane",19,1,3,0,0,0,0,0,1,0,0,0,24,3.696,4,4,0.7029019463944166,,Fall 2004,GLG 103
GLG 103,B,1664,"Erickson,Allison Austin",14,5,4,0,0,0,0,0,1,0,0,0,24,3.435,4,4,0.787752092782872,,Fall 2004,GLG 103
GLG 112,1,1666,"Ort,Michael Harold",14,25,22,7,11,0,0,0,3,0,0,0,82,2.304,2,3,1.264449108583907,,Fall 2004,GLG 112
GLG 112,2,5200,"Best,David Malcolm",5,30,31,14,5,0,0,0,2,0,0,0,87,2.188,2,2,0.981909190436318,,Fall 2004,GLG 112
GLG 112L,A,1667,"Swaney,Zachariah A",13,1,1,0,0,0,0,0,3,0,0,0,18,3.8,4,4,0.560611910581388,,Fall 2004,GLG 112L
GLG 112L,B,1668,"McCormick,Kaitlin Anne",15,0,0,0,2,0,0,0,1,0,0,0,18,3.529,4,4,1.3284223283101428,,Fall 2004,GLG 112L
GLG 112L,C,1669,"McCormick,Kaitlin Anne",19,0,0,0,0,0,0,0,1,0,0,0,20,4,4,4,0.0,,Fall 2004,GLG 112L
GLG 112L,D,1670,"Kathan,Kasey M",4,6,2,1,2,0,0,0,1,0,0,0,16,2.6,3,3,1.3522468075656264,,Fall 2004,GLG 112L
GLG 112L,E,1671,"Melendez,Christyanne",17,2,1,0,0,0,0,0,0,0,0,0,20,3.8,4.0,4,0.5231483637805969,,Fall 2004,GLG 112L
GLG 112L,F,5201,"Daigle,Thomas Andrew",12,2,2,3,0,0,0,0,1,0,0,0,20,3.211,4,4,1.1822270588653645,,Fall 2004,GLG 112L
GLG 112L,G,5202,"Vanaman,Karen M",9,4,1,1,2,0,0,0,0,0,0,0,17,3,4,4,1.4142135623730951,,Fall 2004,GLG 112L
GLG 112L,H,5203,"Daigle,Thomas Andrew",10,6,1,0,2,0,0,0,0,0,0,0,19,3.158,4,4,1.2588865404147536,,Fall 2004,GLG 112L
GLG 112L,I,5435,"Pandamouz,Ali",6,3,0,0,5,0,0,0,1,0,0,0,15,2.357,3.0,4,1.864945569720998,,Fall 2004,GLG 112L
GLG 190,801,5318,"Wittke,James Henry",10,14,7,2,15,0,0,0,4,0,0,0,52,2.042,2.5,0,1.570449635212027,,Fall 2004,GLG 190
GLG 190L,801,5319,"Wittke,James Henry",3,7,11,3,12,0,0,0,6,0,0,0,42,1.611,2.0,0,1.3581032524975574,,Fall 2004,GLG 190L
GLG 201,1,5358,"Elliott,David Kenneth",11,15,6,1,4,0,0,0,1,0,0,0,38,2.757,3,3,1.2339053944782488,,Fall 2004,GLG 201
GLG 225,1,1673,"Elliott,David Kenneth",3,8,4,1,0,0,0,0,0,0,0,0,16,2.812,3.0,3,0.8341662504161466,,Fall 2004,GLG 225
GLG 240,1,1674,"Riggs,Nancy Rosalind",4,6,3,0,0,0,0,0,3,0,0,0,16,3.077,3,3,0.7595545253127499,,Fall 2004,GLG 240
GLG 303,1,7119,"Mead,James Irving",13,0,0,0,0,0,0,0,0,0,0,0,13,4,4,4,0.0,,Fall 2004,GLG 303
GLG 307,1,5361,"Blakey,Ronald Clyde",8,11,1,0,0,0,0,0,0,0,0,0,20,3.35,3.0,3,0.5871429486123998,,Fall 2004,GLG 307
GLG 309,1,1677,"Wittke,James Henry/Reid,Mary",5,3,8,0,1,0,0,0,1,0,0,0,18,2.647,2,2,1.1147408034263075,,Fall 2004,GLG 309
GLG 430,1,1684,"Middleton,Larry Thomas",5,7,5,0,0,0,0,0,1,0,0,0,18,3,3,3,0.7905694150420949,,Fall 2004,GLG 430
GLG 435,1,1686,"Duebendorfer,Ernest M",6,7,8,2,1,0,0,0,0,0,0,0,24,2.625,3.0,2,1.0959411282189109,,Fall 2004,GLG 435
GLG 451,1,1019,"Springer,Abraham E",5,6,1,0,0,0,0,0,0,0,0,0,12,3.333,3.0,3,0.6513389472789296,,Fall 2004,GLG 451
GLG 100,1,1622,"Wittke,James Henry",9,10,13,2,4,0,0,0,0,0,0,0,38,2.474,2.5,2,1.2244544754488251,,Spring 2005,GLG 100
GLG 100,2,1623,"Koehler,Peter Andrew",20,24,30,1,1,0,0,0,3,0,0,0,79,2.803,3.0,2,0.8947213620951908,,Spring 2005,GLG 100
GLG 100,3,1624,"Koehler,Peter Andrew",26,39,27,0,2,0,0,0,1,0,0,0,95,2.926,3.0,3,0.8705376129321621,,Spring 2005,GLG 100
GLG 100,801,5696,"Morgan,Paul -/Hall,Patricia Jayne",6,8,2,0,8,0,0,0,2,0,0,0,26,2.167,3.0,3,1.6594044679962137,,Spring 2005,GLG 100
GLG 100L,801,5697,"Morgan,Paul -/Hall,Patricia Jayne",1,6,6,0,9,0,0,0,4,0,0,0,26,1.545,2.0,0,1.4050003466284178,,Spring 2005,GLG 100L
GLG 100L,A,1625,"Hollenshead,Marcia Gail",19,1,0,0,0,0,0,0,1,0,0,0,21,3.95,4.0,4,0.22360679774997896,,Spring 2005,GLG 100L
GLG 100L,B,1626,"Zimmer,Brian William",12,5,1,0,1,0,0,0,0,0,0,0,19,3.421,4,4,1.0173926082384546,,Spring 2005,GLG 100L
GLG 100L,C,1627,"Zimmer,Brian William",12,6,1,0,1,0,0,0,0,0,0,0,20,3.4,4.0,4,0.99472291830968,,Spring 2005,GLG 100L
GLG 100L,D,1628,"Bonamici,Chloe Elizabeth",14,3,2,1,0,0,0,0,0,0,0,0,20,3.5,4.0,4,0.8885233166386386,,Spring 2005,GLG 100L
GLG 100L,E,1629,"Zimmer,Brian William",11,1,1,1,2,0,0,0,1,0,0,0,17,3.125,4.0,4,1.5,,Spring 2005,GLG 100L
GLG 100L,G,1631,"Hollenshead,Marcia Gail",21,2,0,0,0,0,0,0,0,0,0,0,23,3.913,4,4,0.2881040655200304,,Spring 2005,GLG 100L
GLG 100L,H,1632,"Hollenshead,Marcia Gail",16,1,2,0,1,0,0,0,1,0,0,0,21,3.55,4.0,4,1.050062654772261,,Spring 2005,GLG 100L
GLG 100L,I,1633,"Schmeisser,Rebecca L",12,4,2,0,0,0,0,0,0,0,0,0,18,3.556,4.0,4,0.7047921864945658,,Spring 2005,GLG 100L
GLG 100L,J,1634,"Schmeisser,Rebecca L",9,2,1,0,0,0,0,0,0,0,0,0,12,3.667,4.0,4,0.6513389472789296,,Spring 2005,GLG 100L
GLG 100L,K,1635,"Newkirk,Trenton T",20,0,0,0,0,0,0,0,0,0,0,0,20,4,4.0,4,0.0,,Spring 2005,GLG 100L
GLG 100L,L,1636,"Newkirk,Trenton T",12,0,0,0,0,0,0,0,1,0,0,0,13,4,4.0,4,0.0,,Spring 2005,GLG 100L
GLG 101,1,1639,"Hoisch,Thomas David",3,8,6,3,4,0,0,0,0,0,0,0,24,2.125,2.0,3,1.2958965337120694,,Spring 2005,GLG 101
GLG 102,1,1640,"Mead,James Irving",7,3,4,0,1,0,0,0,0,0,0,0,15,3,3,4,1.1952286093343936,,Spring 2005,GLG 102
GLG 103,A,1644,"Erickson,Allison Austin",8,3,0,0,0,0,0,0,0,0,0,0,11,3.727,4,4,0.46709936649691375,,Spring 2005,GLG 103
GLG 103,B,1645,"Hall,Patricia Jayne",13,0,0,0,0,0,0,0,0,0,0,0,13,4,4,4,0.0,,Spring 2005,GLG 103
GLG 104,A,1646,"Mead,James Irving",6,4,2,0,1,0,0,0,0,0,0,0,13,3.077,3,4,1.1875421719907087,,Spring 2005,GLG 104
GLG 112,1,1648,"Best,David Malcolm",15,34,23,14,3,0,0,0,2,0,0,0,91,2.494,3,3,1.056619776646457,,Spring 2005,GLG 112
GLG 112,2,2235,"Sample,James Clifford",39,36,15,7,7,0,0,0,3,0,0,0,107,2.894,3.0,4,1.1817238455745076,,Spring 2005,GLG 112
GLG 112L,A,1649,"Black,Victoria Lynn",15,1,2,0,2,0,0,0,0,0,0,0,20,3.35,4.0,4,1.3088765773505315,,Spring 2005,GLG 112L
GLG 112L,B,1650,"Black,Victoria Lynn",16,2,0,0,1,0,0,0,2,0,0,0,21,3.684,4,4,0.9459053029269173,,Spring 2005,GLG 112L
GLG 112L,C,1651,"McCormick,Kaitlin Anne",17,3,0,1,0,0,0,0,0,0,0,0,21,3.714,4,4,0.7171371656006362,,Spring 2005,GLG 112L
GLG 112L,D,1652,"Pandamouz,Ali",12,0,1,0,4,0,0,0,1,0,0,0,18,2.941,4,4,1.7489492643904125,,Spring 2005,GLG 112L
GLG 112L,E,1653,"Newkirk,Trenton T",20,0,0,0,0,0,0,0,1,0,0,0,21,4,4.0,4,0.0,,Spring 2005,GLG 112L
GLG 112L,F,2249,"McCormick,Kaitlin Anne",15,2,0,1,0,0,0,0,1,0,0,0,19,3.722,4.0,4,0.7519039015221181,,Spring 2005,GLG 112L
GLG 112L,G,2250,"McCormick,Kaitlin Anne",16,2,0,1,1,0,0,0,1,0,0,0,21,3.55,4.0,4,1.0990426455975697,,Spring 2005,GLG 112L
GLG 112L,H,2251,"Black,Victoria Lynn",8,6,5,0,1,0,0,0,0,0,0,0,20,3,3.0,4,1.0760551736979407,,Spring 2005,GLG 112L
GLG 112L,J,6115,"Pandamouz,Ali",14,1,1,0,1,0,0,0,1,0,0,0,18,3.588,4,4,1.0641207361838554,,Spring 2005,GLG 112L
GLG 190,1,1641,"Morgan,Paul -",8,9,0,0,0,0,0,0,3,0,0,0,20,3.471,3,3,0.5144957554275266,,Spring 2005,GLG 190
GLG 190,801,5698,"Morgan,Paul -/Melendez,Christyanne",5,10,4,1,6,0,0,0,1,0,0,0,27,2.269,3.0,3,1.4576060457528928,,Spring 2005,GLG 190
GLG 190L,801,5699,"Morgan,Paul -/Melendez,Christyanne",7,6,2,2,8,0,0,0,2,0,0,0,27,2.08,3,0,1.6812693617224654,,Spring 2005,GLG 190L
GLG 201,1,1655,"Elliott,David Kenneth",11,9,17,2,3,0,0,0,1,0,0,0,43,2.548,2.0,2,1.1519311664814291,,Spring 2005,GLG 201
GLG 240,1,1656,"Duebendorfer,Ernest M",5,3,3,1,1,0,0,0,0,0,0,0,13,2.769,3,4,1.3008872711759818,,Spring 2005,GLG 240
GLG 315,1,1660,"Reid,Mary",4,6,3,0,0,0,0,0,1,0,0,0,14,3.077,3,3,0.7595545253127499,,Spring 2005,GLG 315
GLG 324,1,1662,"Blakey,Ronald Clyde",10,4,3,0,0,0,0,0,1,0,0,0,18,3.412,4,4,0.7952062255644573,,Spring 2005,GLG 324
GLG 350W,1,6105,"Riggs,Nancy Rosalind",5,6,1,2,0,0,0,0,1,0,0,0,15,3,3.0,3,1.0377490433255416,,Spring 2005,GLG 350W
GLG 440,1,1663,"Duebendorfer,Ernest M/Umhoefer,Paul John/Springer,Abraham E/Riggs,Nancy Rosalind",5,14,1,0,0,0,0,0,0,0,0,0,20,3.2,3.0,3,0.5231483637805969,,Spring 2005,GLG 440
GLG 470,1,6130,"Morgan,Paul -/Reid,Mary",4,6,3,2,0,0,0,0,0,0,0,0,15,2.8,3,3,1.01418510567422,,Spring 2005,GLG 470
GLG 100,1,3444,"Morgan,Paul -",29,16,16,11,4,0,0,0,2,0,0,0,78,2.724,3.0,4,1.260673726867517,,Fall 2005,GLG 100
GLG 100,2,3446,"Umhoefer,Paul John",10,21,25,16,3,0,0,0,0,0,0,0,75,2.253,2,2,1.066610358874157,,Fall 2005,GLG 100
GLG 100,3,3445,"Koehler,Peter Andrew",8,18,11,0,1,0,0,0,0,0,0,0,38,2.842,3.0,3,0.8550743855574294,,Fall 2005,GLG 100
